Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Quality,F,W,A,E,Score,Value,Trait 1,Trait 2,Property 1,Property 2,Property 3,Property 4,Property 5,Description,Location 1,Location 2,Location 3,Location 4,Location 5,Monster 1,Monster 2,Monster 3,Monster 4,Notes
192,Ruler's Claw,20,(Animal),(Medic. Ing.),(Legendary),,70,0,0,0,25,39,15,Great w/ Plants,Nicely Made,Explosiveness,Beast Specific,,,,"A very pretty, sharp, and long animal claw. It's very hard, so it's hard to process. It's said it can yield good meds!",Hidden Paradise-Fire,,,,,Red Skin,,,,
193,Crystal Claw,27,(Animal),(Gemstone),(Elixir),(Legendary),90,0,25,25,30,53,25,Nicely Made,Water Spirit,Keen Sense,Spirit Specific,,,,"It's supposed to be an animal claw, but it's crystal. Polishing it makes it shine like a gem. How does it exist?",Hidden Paradise-Sky,,,,,War Bear,Scorching Dragon,,,
194,Fur,5,(Animal),(Leather),,,30,0,0,0,20,23,5,Dirt Soul,,PH RES +5,,,,,"A regular piece of animal fur. It's normally tanned and turned into clothes or bags. It's not very soft, so it's low quality.",Altugle Herb Garden,Herb Garden-Corridor,,,,Stray Dog,Flesh Eater,Heavy Skin,Steel Skin,
195,Soft Fur,7,(Animal),(Leather),,,50,0,0,0,20,35,7,Dirt Power,Well-Made,Soft,Price +5%,,,,"Very soft animal fur. It's so soft that it's difficult to process, but tanning it would make it as smooth as silk.",,,,,,Howling Beast,Steel Skin,Red Skin,,
196,Cryptid Fur,33,(Animal),(Leather),(Legendary),,95,45,10,0,30,59,29,Scorching Hot,Flame Soul,Temperature RES,,,,,A mystical fur said to be obtained from mythic beasts. It's amazingly fluffy and as light as a feather.,Hidden Paradise-Sky,,,,,Wolf,War Bear,Gehhena Fang,,
197,Quality Fur,15,(Animal),(Leather),,,70,0,0,0,30,48,14,Rock Power,,Price +10%,,,,,"Very high quality fur. It's tough, flexible, and fluffy. People in cold regions wear this year round.",Serenity Island,Hidden Paradise-Earth,,,,Howling Beast,Red Skin,,,
198,Silver Fur,22,(Animal),(Leather),,,85,0,15,20,25,56,24,Tornado Power,Wind Spirit,Good Quality,Price +15%,,,,A mysterious fur with a silver color. It looks and feels nice. It doesn't have the rough texture of leather at all!,Salt Desert-Bones,Hidden Paradise-Wind,,,,Wolf,,,,
199,Dragon Tail,11,(Animal),(Meat),(Tonic),,60,10,10,0,0,42,10,Usage Control,,Some Nutrition,,,,,"The cut-off tail of a dragon. Some people eat it, but it can be a medicine, too. But to get it, you have to fight a dragon.",,,,,,Butterfly Lizard,,,,
200,Living Tail,18,(Animal),(Meat),(Tonic),,40,15,15,0,0,30,9,Division,,Auto Activate 30%,,,,,"The still-moving tail of a dragon. It was cut off ages ago... It's creepy, but very good as food or medicine.",Hidden Paradise-Water,,,,,Scorching Dragon,Compact Dragon,,,
201,Fairy Tail,27,(Animal),(Meat),,,75,0,15,35,0,48,20,Tempest Power,,Fairy Power,Small,,,,It's a fairy's tail... Or not. It's actually a rare dragon's. It was given this name to make it unique among dragons.,Hidden Paradise-Sky,,,,,Fairydrake,,,,
202,Dragon Scale,42,(Animal),(Scale),,,100,30,30,0,0,71,31,Release Power,Amazingly Made,Dragon Specific,Stats +6,,,,"A hard and heavy scale ripped off a dragon. It's hard to process, but it makes tough armor. Hmm, can I use it...?",Hidden Paradise-Sky,,,,,Old Oath Dragon,Grand Dragon,Dragon Master,,
203,Land Dragon Scale,33,(Animal),(Scale),,,75,10,15,0,40,47,22,Earth Power,Great w/ Ore,Ancient Power,,,,,A strange dragon scale. It looks like layers of earth shaped into a scale. Alchemy makes processing it easier.,Hidden Paradise-Sky,,,,,Scorching Dragon,Compact Dragon,,,
204,Shining Scale,16,(Animal),(Scale),,,55,0,20,20,10,33,13,Rock Power,Usage Ease,Rewind Time,,,,,"A dragon scale that glows. It's thin and light, but the hardest among dragon scales. Rare and tough to process.",Hidden Paradise-Water,,,,,Fairydrake,,,,
205,Dragon Fang,39,(Animal),(Elixir),(Access. Ing.),(Legendary),110,15,15,45,30,69,37,Flame Soul,Rain Soul,Purification,,,,,"A sharp dragon's fang. It's rare, so how should I use it? They say that making a potion from it grants eternal life.",Hidden Paradise-Sky,,,,,Compact Dragon,Old Oath Dragon,Grand Dragon,Dragon Master,
206,Great Beast Fang,29,(Animal),(Access. Ing.),(Legendary),,70,0,20,30,20,39,21,Tempest Power,Heighten Power,Faster,Beast Specific,,,,"It's said that only great beasts have this gleaming fang. In some regions, only the best hunters have this fang.",Hidden Paradise-Sky,,,,,Bitter Squirrel,Golden Rat,War Bear,Silver Wolf,
207,Black Fang,41,(Animal),(Poison),(Access. Ing.),(Legendary),90,50,0,30,50,55,35,Usage Ease,Stable Matter,Amplify Pain,,,,,"The fang of an old dragon. It's normally scavenged from a dead one, but I'll go grab it if it's necessary for alchemy!",Hidden Paradise-Sky,,,,,Scorching Dragon,Gehhena Fang,,,
208,Spirit Magnet,45,(Ore),(Elixir),(Mystery),(Legendary),120,50,50,50,0,72,47,Usage Null,Amazingly Made,Spirit Blessing,Spirit Power,,,,"This is part of one of the greater spirits. It looks like a bone, but it's closer to metal. Good for making poison.",,,,,,Wind Ruler,Ancient Live Tree,,,
209,Time Guard Flower,50,(Plant),(Medic. Herb),(Elixir),(Flower),120,33,33,33,33,70,47,Usage Null,Release Power,Time Power,Mythic Potency,,,,"A glowing flower that grows in Yggdrasil. It has many effects, so it's good medicine. It's the best plant ingredient.",,,,,,Yggdrasil,Ancient Live Tree,Winged Master,,
210,Conventional Cloth,35,(Antique),(String),(Cloth),(Sundry),80,0,33,33,33,73,103,Usage Control,Expand Power,Beautiful Form,Very Nice Smell,Big,PH RES +12,Good Quality,"Nanaca's handmade family cloth. It can spare you from disaster on journeys. Not only that, it's warm, so...thanks, Nanaca!",,,,,,,,,,
211,Salt Flower,40,(Antique),(Salt),(Ore),(Jewel),90,50,0,30,40,76,156,Usage Ease,Addition,Regular Form,Nice Smell,Really Hard,Stats +6,Quality Change,"A flower made of salt that I got from Tanya. It's not one of the flowers I'm looking for, but it's just as mystical.",,,,,,,,,,
212,Mellow Animal,50,(Antique),(Mystery),(Lucky Charm),(Sundry),80,25,25,25,25,70,227,Usage Null,,Loveable,Super Elastic,Weird Shape,Huge,Good Quality,A souvenir stuffed animal that Ernie got while out east. Its name is Josette. It's so cute. It's like a stretching bear.,,,,,,,,,,
