,en,,ja,,Type,Properties,Level,evalue,Fire,Water,Wind,Earth,Categories,Effect,Item Size,Equipped by,HP,MP,ATK,DEF,SPD,res f,res w,res wi,res e,Locations,Dropped by,index
ripe-fruit,Ripe Fruit,"A ripe fruit. It's soft and sweet, perfect for eating.",熟した果実,ほどよく熟した何かの果実。柔らかく甘みがあり、ちょうど食べ頃と言える,Material,"healing-up,,,,",7,20,0,1,0,0,"fruit,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,,",",,,,,",158
fully-ripe-fruit,Fully Ripe Fruit,A perfectly ripe fruit. This is the exact moment of its true flavor.,完熟果実,完全に熟した何かの果実。今こそ真の美味しさを感じられる時期だろう,Material,"healing-up-plus,,,,",11,15,1,1,0,0,"fruit,smell,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,,","golden-rat,alchemy-rat,,,,",159
fluorite,Fluorite,A mysterious stone that glows faintly in the darkness.,ホタル石,暗がりに持って行くとうっすらと光っている不思議な石,Material,"all-stats-2,,,,",6,20,0,1,0,0,"jewel,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","carrier,amethyst-rat,,,,",160
lava-stone,Lava Stone,"A rock formed from cooled lava. It retains heat for a long, long time.",溶岩溜まりの石,溶岩が固まって出来た石。再び燃えるには時間がかかるが、燃え出すと熱が冷めない,Material,"fire-resist-plus,,,,",15,20,1,1,0,0,"ore,clay,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,ends-of-the-earth,",",,,,,",161
dried-fat,Dried Fat,"Solidified fat. It's sticky, so it's useful as an adhesive.",乾いた油脂,固形化している油脂。べたついているため接着剤などとして使ったりする,Material,"poison,,,,",3,15,1,0,0,0,"oil,gunpowder,,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"ends-of-the-earth,,",",,,,,",162
ghost-cloth,Ghost Cloth,"A thin, oily membrane formed into a strange shape. It burns.",幽霊のかぶり布,薄くひらひらした油の膜で不思議な形をしているためにこんな名が付いた。よく燃える,Material,",,,,",6,0,1,0,1,1,"oil,gunpowder,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,",",,,,,",163
ifrit-breath,Ifrit Breath,"A bottle that appears empty, yet spews flames for some reason.",炎の精の息,からっぽに見えるのに、なぜか炎が燃え上がっているビン,Material,"fire-resist-plus,,,,",11,15,1,0,1,0,"gas,fuel,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","scorching-dragon,red-spirit,,,,",164
black-water,Black Water,A black muddy liquid with a foul odor. No one could possibly drink it.,黒い湧き水,黒くどろっとしていて悪臭を放つ液体。飲むのは無理だ,Material,",,,,",6,0,1,1,0,1,"liquid,fuel,smelly,",0,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","tracker,porter,,,,",165
fire-slag-stone,Fire Slag Stone,"A fiery red stone sometimes dropped by Slags. It's pretty, but warm.",スラグの炎石,スラグが時々落とす、炎のように赤い石。きれいだが正体は不明。持つとほんのり温かい,Material,"fire-damage,,,,",8,25,1,0,0,0,"slag-parts,jewel,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","nano-slag,pico-slag,red-fang-returner,,,",166
ice-slag-stone,Ice Slag Stone,A pale blue stone sometimes dropped by Slags. It's cold to the touch.,スラグの氷石,スラグが時々落とす、青白い石。きれいだが正体は不明。持つと割と冷たい,Material,"water-damage,,,,",11,30,0,1,0,0,"slag-parts,jewel,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,slag-graveyard,dragon-s-nest","fatal-flat,frigate,blue-sky-monster,blood-saber,,",167
sky-slag-stone,Sky Slag Stone,A transparent stone dropped by Slags. It makes your fingers numb.,スラグの天玉,スラグが時々落とす、透明度が高い大きな石。大きさの割に軽く、持つと指先がしびれる,Material,"ancient-power,mp-use-cut,,,",15,10,0,1,1,1,"slag-parts,jewel,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,dragon-s-nest,","dragoon,fatal-flat,dreadnought,amazing-breaker,mutant-sky-monster,blue-fang-saber",168
earth-slag-stone,Earth Slag Stone,"Large hard stonedropped by Slags. It's pretty, but mysterious.",スラグの地玉,スラグが時々落とす、大きくてやたら堅い石。きれいだが正体は不明,Material,"damage-absorb-plus-plus,skill-boost,,,",20,20,1,1,0,1,"slag-parts,jewel,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,ends-of-the-earth,","tank,amazing-breaker,slayer-titan,,,",169
hard-claw,Hard Claw,A sharp claw from an animal. It's used for medicines or accessories.,硬いツメ,堅くて鋭い動物のツメ。昔からアクセサリに使ったり、砕いて薬にしたりしているらしい,Material,",,,,",3,15,0,0,0,1,"animal,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,,","heavy-skin,steel-skin,,,,",170
ruler-s-claw,Ruler's Claw,A giant claw from an unusual animal. It would look very nice if polished.,ぬしのツメ,普通の動物のものとは思えない、巨大なツメ。とても堅いが、磨けばきれいになりそうだ,Material,"hunter-s-senses,beast-slayer,,,",10,15,0,0,1,1,"animal,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,,","red-skin,,,,,",171
crystal-claw,Crystal Claw,"It's definitely a claw, but for some reason it appears to be crystal.",水晶のツメ,動物のツメなのは間違いないが、なぜか水晶のように結晶化しているもの,Material,"sharpened-senses,spirit-slayer,,,",17,15,0,1,1,1,"animal,jewel,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,,","mutant-steel-beast,,,,,",172
soft-fur,Soft Fur,Soft animal fur used as material for clothing and accessories.,柔らかな毛皮,触ると柔らかい動物の毛皮。上手く加工すれば服や小物の材料に出来そうだ,Material,"high-price,,,,",4,15,1,0,0,0,"skin,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,,","stray-dog,flesh-eater,howling-beast,,,",173
cryptid-fur,Cryptid Fur,Prized fur from mythical beasts. It's very soft.,幻獣の毛皮,幻獣と呼ばれる珍しい種類の動物から採れる良質の毛皮。とても柔らかい,Material,"crimson-blue-barrier,relieve-ailments,,,",21,20,1,1,1,0,"skin,,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"ends-of-the-earth,,","child-of-terror,,,,,",174
quality-fur,Quality Fur,"Extremely soft, fluffy fur. Using this makes anything valuable.",上等な毛皮,ふかふかで柔らかい、極めて上質の毛皮。この毛皮で作られた加工品は高価だろう,Material,"high-price-plus,,,,",8,25,0,0,1,0,"skin,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,ends-of-the-earth,","howling-beast,steel-skin,red-skin,manic-beast-king,,",175
silver-fur,Silver Fur,Glossy silver fur that is difficult to find.,白銀の毛皮,銀色でつやのある毛皮。加工のしやすさや質も最高級で、一般人が手にすることは少ない,Material,"finely-crafted,high-price-plus-plus,,,",17,15,1,0,1,1,"skin,,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,ends-of-the-earth,","alpha-silver-wolf,,,,,",176
dragon-tail,Dragon Tail,"A dragon's tail. The meat is tasty, but has useful medicinal powers.",竜のおっぽ,竜から切り取られた尾。肉も美味だが、何より強い魔力を持つため薬にも使われるらしい,Material,"vitality-boost,,,,",13,10,1,1,1,0,"dragon,meat,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,ends-of-the-earth,","scorching-dragon,compact-dragon,blue-elder-dragon,dark-elder-dragon,,",177
living-tail,Living Tail,This tail slithers around by itself. It must be highly nutritious!,生きてるシッポ,斬られても動き続ける尾。この生命力のため食べると滋養強壮になると言われる,Material,"30-automatic,,,,",7,20,0,0,0,1,"dragon,meat,,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,"fairydrake,rampaging-eye,mutant-lizardwing",178
fairy-tail,Fairy Tail,This is exceptionally rare among dragon tails.,フェアリーテール,その名に反して実は竜の尾。希少な竜の尾の中でも特に希少らしい,Material,"fairy-power,small,,,",10,15,0,0,1,1,"dragon,meat,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"ends-of-the-earth,,",",,,,,",179
dragon-scale,Dragon Scale,"A dragon's scale, perfect for making hard things like armor.",竜のウロコ,竜の身体を覆うウロコ。つやがあり、とても堅いため鎧など色々なものに加工される,Material,"dragon-slayer,all-stats-6,,,",21,20,0,1,1,1,"dragon,elixir,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,dragon-s-nest,ends-of-the-earth","grand-dragon,galtessen,sura-dragon,,,",180
dragon-fang,Dragon Fang,"More effective as medicine than other horns, but very hard to find.",竜の牙,他の動物の牙や角と比べてもとびきり薬効成分が強い。しかし入手は極めて困難だ,Material,"strong-medicine,4-heaven-barrier,,,",20,20,1,0,1,1,"dragon,medic-ing,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,dragon-s-nest,ends-of-the-earth","grand-dragon,galtessen,emerald-ray,,,",181
beast-fang,Beast Fang,"A giant, fearsome beast's fang. It's very difficult to obtain.",大いなる獣の歯,強大で、恐れ敬われている、いにしえの獣たちの牙。入手は極めて困難だ,Material,"speed-9,beast-slayer,,,",15,20,1,0,0,1,"animal,,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,dragon-s-nest,","rampage-beast,,,,,",182
black-fang,Black Fang,An ancient dragon fang that has gone black with age.,黒い牙,古竜の牙。長い時間によって黒く変色したもので、この色が竜の年齢を表している,Material,"damage-absorb-plus-plus,condition-attack,,,",21,20,1,1,0,1,"animal,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"dragon-s-nest,,","child-of-terror,dark-demon-beast,,,,",183
spirit-magnet,Spirit Magnet,A mysterious stone found in some greater spirits. It seems metallic.,精霊の磁晶石,大精霊の身体の中にある、骨のような不思議な石。金属に近い成分のようだ,Material,",,,,",23,20,1,1,1,1,"ore,metal,jewel,",100,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"ends-of-the-earth,,","mutant-sky-monster,underworld-spirit,,,,",184
time-flower,Time Flower,"A glowing, divine flower. It's often useful when made into medicine.",時守りの花,うっすらと光り輝く神々しい花。あらゆる薬の材料に使える、万能の材料だ,Material,"4-heavens-attack,extreme-healing,,,",25,20,1,1,1,1,"plant,ancient-power,elixir,",100,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,,","gullveig,,,,,",185
preserved-biscuit,Preserved Biscuit,A hard biscuit that can be preserved. Even a bite is filling.,保存のビスケ,長期保存がきく硬めのビスケット。少量でも腹持ちが良いため、重宝されている,Material,",,,,",2,15,0,0,1,0,"snack,medic-ing,,",50,,",,,,,,,,,,",,,,,,,,,,,,186
dried-taro-chips,Dried Taro Chips,A snack made from fried potatoes. Too many of these will make you fat.,干しいもチップス,乾燥させたいもを薄く切って揚げたお菓子。手軽に食べられるが、たくさん食べると太る,Material,",,,,",2,15,1,0,0,0,"snack,grain,,",50,,",,,,,,,,,,",,,,,,,,,,,,187
cloud-financier,Cloud Financier,A snack baked in molds. It's sweet and as fluffy as clouds.,雲フィナンシェ,型に入れて焼き上げるお菓子。甘く、雲のようにふかふかしている,Material,",,,,",2,15,0,1,0,0,"snack,gas,,",50,,",,,,,,,,,,",,,,,,,,,,,,188
melting-jewels,Melting Jewels,"Colorful, translucent candy that dissolves in the mouth quickly.",とろける宝石,宝石のように透明感の強い、カラフルなアメ。溶けやすく、口の中に入れるとすぐに消える,Material,",,,,",3,15,0,0,0,1,"snack,jewel,seasoning,",50,,",,,,,,,,,,",,,,,,,,,,,,189
sweet-stump,Sweet Stump,"A sweet, spongy snack that can be eaten by peeling away the layers.",甘い切り株,木の切り株のような形をした、スポンジ系の甘いお菓子。１枚ずつ薄くはがせる,Material,",,,,",2,15,0,0,0,1,"snack,fuel,,",50,,",,,,,,,,,,",,,,,,,,,,,,190
fire-lord-s-bless,Fire Lord's Bless,A gift bestowed on humans by the Fire Lord. The material is not natural.,火の王の祝福,火の王が人間に授けたツヨキヒ。自然には存在しないはずの物質で出来ている,Material,",,,,",25,50,1,0,0,0,"key,,,",,,",,,,,,,,,,",,,,,,,,,,,,191
craft,Craft,A handmade bomb packed with thorns that spray in all directions.,クラフト,固くとがった木の実を詰め込んだ手製爆弾。炸裂すると四方八方に木の実が飛び散る,Usable,"frame-reinforce,effect-up,frame-compress,fixed-increase,sharp-thorns",3,15,0,0,0,1,"bomb,,,",,2,",,,,,,,,,,",,,,,,,,,,,,192
bomb,Bomb,An explosive bomb that has a short delay before the explosion.,フラム,火薬を詰め込んだ手製爆弾。火をつけて爆発するまでに、多少の時間がかかる,Usable,"critical,inherit-pp-3,effect-up-plus,destruction-up-plus,endow-heat",6,20,1,0,0,0,"bomb,,,",,3,",,,,,,,,,,",,,,,,,,,,,,193
ice-bomb,Ice Bomb,An ice bomb that steals water from the air to make a resounding impact.,レヘルン,空気に触れると周囲の大気を凍らせて大きくなる氷爆弾。着弾時は結構な威力になる,Usable,"destruction-up,fixed-increase,inherit-pp-3,critical,endow-cold",10,25,0,1,0,0,"bomb,,,",,2,",,,,,,,,,,",,,,,,,,,,,,194
lightning-bomb,Lightning Bomb,A stone that releases a burst of electrical energy.,ドナーストーン,炸裂して砕けるときに周囲に強烈な雷の力を発生させる石。取扱いには注意が必要,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus,endow-sparks",13,30,0,0,1,0,"bomb,,,",,1,",,,,,,,,,,",,,,,,,,,,,,195
living-bomb,Living Bomb,A ball of earth that absorbs surrounding soil to become huge.,生きてる弾岩,転がすと周囲の土を吸着させながら巨大化していく土の玉,Usable,"frame-reinforce,effect-up,frame-compress,fixed-increase,induce-dryness",12,30,0,0,0,1,"magic-tool,,,",,3,",,,,,,,,,,",,,,,,,,,,,,196
lava-cube,Lava Cube,A ball of condensed lava that explodes into magma when thrown.,ラーヴァキューブ,溶岩が正八面体の形に凝縮されたもの。空に投げると溶岩が飛び散るという古代の道具,Usable,"critical,inherit-pp-3,effect-up-plus,destruction-up-plus,searing-earth",16,35,1,0,0,0,"magic-tool,,,",,4,",,,,,,,,,,",,,,,,,,,,,,197
divine-jar,Divine Jar,A tool that shoots a compressed stream of water to crush enemies.,天空の水がめ,中から大量の水流が発生し、水圧で敵を押しつぶすという道具,Usable,"area-bonus,effect-up,inherit-pp-3,area-bonus-plus,hydro-stream",19,40,0,1,0,0,"magic-tool,,,",,3,",,,,,,,,,,",,,,,,,,,,,,198
demon-eye,Demon Eye,An item mimicking a spirit's eye. It draws on a spirit's anger.,シルフィの魔眼,精霊の瞳を似せた物。精霊の怒りを引き出し敵に攻撃させることが出来る,Usable,"enhance-wt,quick-use,inherit-pp-3,power-throw,headwind",23,45,0,0,1,0,"magic-tool,,,",,2,",,,,,,,,,,",,,,,,,,,,,,199
titan-hammer,Titan Hammer,A magic hammer that automagically crushes enemies when thrown.,大巨人の鉄槌,投げると自動的に敵に命中し大打撃を与える魔法のハンマー。見た目ほど重くない,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,megaton-class",27,45,0,0,0,1,"magic-tool,,,",,3,",,,,,,,,,,",,,,,,,,,,,,200
poly-poison,Poly. Poison,A tightly sealed container of poisonous liquid.,ポリフォニー毒瓶,猛毒の液体が入っている。臭いをかぐだけでも危険なため、固く密閉されている,Usable,"destruction-up-plus,fixed-increase-plus,inherit-pp-5,critical-plus,lethal-dose",28,30,0,1,0,1,"medicine,,,",,4,",,,,,,,,,,",,,,,,,,,,,,201
slag-figure,Slag Figure,A warrior that follows the user's commands. The style varies.,スラグフィギャー,使用者が命令すると代わりに戦う兵士。戦い方は状況により変わっていく,Usable,"count-bonus,effect-up,inherit-pp-3,count-bonus-plus,slag-figure",25,30,0,0,1,1,"magic-tool,,,",,3,",,,,,,,,,,",,,,,,,,,,,,202
dimension-bomb,Dimension Bomb,A bomb that vanishes into another dimension when thrown.,次元爆弾,投げると次元の彼方に消える爆弾。次にどこから現れて炸裂するのかは誰にも分からない,Usable,"critical-plus,inherit-pp-3,effect-up-plus-plus,destruction-up-plus-plus,dimensional-gap",40,35,1,0,1,1,"bomb,,,",,5,",,,,,,,,,,",,,,,,,,,,,,203
dream-book,Dream Book,A blank picture book. Hold it up and concentrate to summon things.,夢想絵本,絵のない絵本。本を天に掲げ夢想すると思い浮かべた物が降ってくるという,Usable,"power-throw-plus,inherit-pp-5,quick-use-plus,enhance-wt-plus,fantastic-story",25,30,0,0,1,1,"book,,,",,3,"escha,,,,,,,,,,",,,,,,,,,,,,204
knowledge-book,Knowledge Book,A book filled with the angels' power. It releases a huge shockwave.,四極天の知恵書,天使の力が詰まった書物。開くとまばゆい光とともに強大な波動が放たれるという,Usable,"frame-reinforce-plus,effect-up-plus,frame-compress,fixed-increase-plus,heavenly-wave",45,35,1,1,1,1,"book,,,",,5,"escha,,,,,,,,,,",,,,,,,,,,,,205
roten-blitz,Roten Blitz,A catalyst for Logy's gauntlet. It launches an orb of fire.,ローテンブリッツ,ロジーの持つ特殊な小手に挿入する触媒。小手から火の属性の弾を放つことが出来る,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,flame-core",28,45,1,0,0,0,"core,,,",,2,",logy,,,,,,,,,",,,,,,,,,,,,206
flava-blitz,Flava Blitz,A catalyst for Logy's gauntlet. It launches a ball of water.,フラヴァブリッツ,ロジーの持つ特殊な小手に挿入する触媒。小手から水の属性の弾を放つことが出来る,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus-plus,frost-core",23,45,0,1,0,0,"core,,,",,3,",logy,,,,,,,,,",,,,,,,,,,,,207
guryun-blitz,Guryun Blitz,A catalyst for Logy's gauntlet. It launches a blast of wind.,グリュネブリッツ,ロジーの持つ特殊な小手に挿入する触媒。小手から風の属性の弾を放つことが出来る,Usable,"frame-reinforce,effect-up,frame-compress,fixed-increase,wind-core",15,35,0,0,1,0,"core,,,",,1,",logy,,,,,,,,,",,,,,,,,,,,,208
airto-blitz,Airto Blitz,A catalyst for Logy's gauntlet. It launches a mass of earth.,エアトブリッツ,ロジーの持つ特殊な小手に挿入する触媒。小手から土の属性の弾を放つことが出来る,Usable,"destruction-up-plus,fixed-increase-plus,inherit-pp-5,critical-plus,earth-core",33,50,0,0,0,1,"core,,,",,4,",logy,,,,,,,,,",,,,,,,,,,,,209
tauzent-blitz,Tauzent Blitz,A catalyst for Logy's gauntlet. It launches a very powerful orb.,タウゼントブリッツ,ロジーの持つ特殊な小手に挿入する触媒。小手から極めて強力な弾を放つことが出来る,Usable,"critical-plus,inherit-pp-3,effect-up-plus-plus,destruction-up-plus-plus,light-core",45,35,1,1,1,1,"core,,,",,5,",,,,,,,,,,",,,,,,,,,,,,210
omega-craft,Omega Craft,A lost technique to make Craft create a more powerful blast.,オメガクラフト,クラフトにひと工夫を加え、より爆発の威力を増した改良弾。失われた技術だった,Usable,"destruction-up,fixed-increase,inherit-pp-3,critical,sharp-thorns",20,20,1,0,0,1,"bomb,,,",,4,",,,,,,,,,,",,,,,,,,,,,,211
dire-bomb,Dire Bomb,A lost technique that makes the Bomb even more destructive.,ダイアフラム,もともと危険な爆弾のフラムをさらに凶暴な破壊力に改良したもの。失われた技術だった,Usable,"enhance-wt,quick-use,inherit-pp-3,power-throw,endow-heat",25,30,1,0,0,1,"bomb,,,",,2,",,,,,,,,,,",,,,,,,,,,,,212
eis-ice-bomb,Eis Ice Bomb,A lost technique that modifies Ice Bombs.,スニーレヘルン,レヘルンの改良弾。表面から雪のような氷の粒が放たれる。失われた技術だった,Usable,"count-bonus,effect-up,inherit-pp-3,count-bonus-plus,endow-cold",30,30,0,1,1,0,"bomb,,,",,5,",,,,,,,,,,",,,,,,,,,,,,213
blitz-stone,Blitz Stone,"A lost technique similar to Electric Bombs, but much stronger.",ブリッツストーン,ドナーストーンに似た爆弾だが、破壊力や製法が異なる。失われた技術だった,Usable,"frame-reinforce-plus,effect-up-plus,frame-compress,fixed-increase-plus,endow-sparks",35,35,0,0,1,1,"bomb,,,",,3,",,,,,,,,,,",,,,,,,,,,,,214
healing-salve,Healing Salve,"Ointment that's spread onto wounds to heal them. It's edible, as well.",ヒーリングサルブ,傷口に塗り込んで治す傷薬。実はそのまま食べることも出来たりする,Usable,"frame-reinforce,effect-up,frame-compress,fixed-healing,heals-wounds",3,15,0,1,0,0,"medicine,,,",,1,",,,,,,,,,,",,,,,,,,,,,,215
healing-cloud,Healing Cloud,Mainly used in religious rites. It emits a cloud when opened.,癒しの浮雲,主に聖なる儀式を行う際に使う。ふたを開けると中から雲があふれ出し周囲を包む,Usable,"healing-up-plus,fixed-healing-plus,inherit-pp-5,critical-plus,purifies-air",27,30,0,1,1,0,"magic-tool,,,",,4,",,,,,,,,,,",,,,,,,,,,,,216
clear-jelly,Clear Jelly,"A cool, sweet jelly that clears the mind when consumed.",明晰ゼリー,食べると、ひんやりとした冷たさと糖分によっていくぶん頭がスッキリするゼリー,Usable,"critical,inherit-pp-3,effect-up-plus,healing-up-plus,sweet-melting",10,15,0,1,1,0,"food,,,",,2,",,,,,,,,,,",,,,,,,,,,,,217
music-box,Music Box,A wooden music box small enough to fit in your hand.,音手箱,手のひらの上に乗るくらいの大きさの、音楽が流れ出る木箱。心を落ち着かせられる,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,resonant-tone",22,45,0,0,1,0,"sundry,lumber,,",,2,",,,,,,,,,,",,,,,,,,,,,,218
sp-medicine,SP Medicine,A bottle packed with medicines. They all fly out when opened.,万薬の瓶詰め,様々な薬をむりやり詰め込んだ瓶。ふたを開けると一気に全部出てきてしまう,Usable,"healing-up,fixed-healing,inherit-pp-3,critical,panacea",18,25,0,1,1,0,"medicine,,,",,1,",,,,,,,,,,",,,,,,,,,,,,219
healing-aroma,Healing Aroma,A gentle aroma that purges illness from those who breathe it.,癒しのアロマ,優しく広がる香りで、その香りを嗅いだ者は体の具合の悪さなどが全て吹き飛ぶという,Usable,"effect-up-plus,healing-up-plus,30-automatic,inherit-pp-5,calming",27,30,0,1,1,0,"sundry,medic-ing,,",,1,",,,,,,,,,,",,,,,,,,,,,,220
heal-bandage,Heal Bandage,A bandage soaked with numbing medicine. It heals wounds quickly.,痛み止めバンド,痛みの感覚を鈍らせる薬を染みこませたバンド。患部に巻けばすぐに回復出来る,Usable,"frame-reinforce,effect-up,frame-compress,fixed-healing,pain-relief",8,25,0,0,0,1,"medicine,,,",,2,",,,,,,,,,,",,,,,,,,,,,,221
cup-of-life,Cup of Life,A potent medicine that restores breath to the fallen.,生命の杯,中の液体を倒れた人の口から流し込むと息を吹き返すという強力な薬。実は杯が重要,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus-plus,water-of-life",16,35,0,1,0,0,"sundry,medic-ing,,",,2,",,,,,,,,,,",,,,,,,,,,,,222
elixir,Elixir,An extremely powerful medicine that heals just about anything.,エリキシル剤,ありとあらゆるものを回復させる究極万能薬。唯一の欠点は入手が困難なことだ,Usable,"critical-plus,inherit-pp-3,effect-up-plus-plus,healing-up-plus-plus,elixir",37,25,1,1,1,1,"medicine,,,",,3,",,,,,,,,,,",,,,,,,,,,,,223
dragon-s-secret,Dragon's Secret,"Herbs mixed with dragon blood, that allows the user to understand beasts.",竜の秘薬,竜の血が混ぜられた薬。飲み干すとしばらくの間、動物の言葉を理解出来ると言われている,Usable,"healing-up-plus,fixed-healing-plus,inherit-pp-5,critical-plus,dragon-s-power",35,40,1,0,0,1,"medicine,,,",,3,",,,,,,,,,,",,,,,,,,,,,,224
immune-medicine,Immune Medicine,Powdered medicine. It protects well against infectious diseases.,予防接種薬,全身真っ白になるまで振りかける粉薬。これによって流行病などから予防出来る,Usable,"frame-reinforce-plus,effect-up-plus,frame-compress,fixed-healing-plus,resist-illness",30,25,1,1,1,0,"medicine,,,",,2,",,,,,,,,,,",,,,,,,,,,,,225
magical-paint,Magical Paint,Drawing designs on one's skin with this paint is said to grant powers.,マジカルペイント,この絵の具を使って身体に文様を描くと、一時的に色々な力が身につくと言われる,Usable,"critical,inherit-pp-3,effect-up-plus,healing-up-plus,camouflage",20,20,1,1,0,1,"sundry,fuel,,",,1,",,,,,,,,,,",,,,,,,,,,,,226
time-watch,Time Watch,"A pocket watch with an extra hour on the dial, for an unknown reason.",時操の懐中時計,なぜか文字盤が１時間多い懐中時計。どうしてそうなっているかは分からない,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,earth-armor",33,20,1,1,1,1,"magic-tool,,,",,2,",,,,,,,,,,",,,,,,,,,,,,227
slag-statue,Slag Statue,A warrior that dedicates itself to shielding the person using it.,スラグの護身像,使用者の盾となって身を守ってくれる兵士。使用者を守ることを最優先に行動する,Usable,"healing-up-plus,fixed-healing-plus,inherit-pp-5,critical-plus,protective-slag",25,20,1,1,0,1,"magic-tool,,,",,3,"escha,,,,,,,,,,",,,,,,,,,,,,228
goddess-shield,Goddess Shield,A shield with a goddess' image carved into it. It is inspiring.,守護女神の盾,女神の姿が刻まれた盾。観賞用で実際には使えないが、見ていると勇気がわいてくる,Usable,"critical-plus,inherit-pp-3,effect-up-plus-plus,healing-up-plus-plus,goddess-blessing",30,25,0,1,1,1,"magic-tool,,,",,4,"escha,,,,,,,,,,",,,,,,,,,,,,229
eye-opener,Eye-Opener,They say putting this in your eyes lets you see into a new dimension.,開眼の目薬,点眼して、薬が乾くまでの間、別次元の世界を見ることが出来ると言われている,Usable,"healing-up-plus,fixed-healing-plus,inherit-pp-5,critical-plus,see-clearly",26,30,0,1,1,0,"medicine,,,",,5,",,,,,,,,,,",,,,,,,,,,,,230
gold-curse-ring,Gold Curse Ring,A ring that grants more money when worn. It breaks after one use.,黄金呪の指輪,指にはめ祈ると黄金が増えると言われる指輪。しかしたった一度祈るだけで壊れてしまう,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus-plus,gold-curse-ring",42,30,1,1,1,1,"magic-tool,,,",,1,",logy,,,,,,,,,",,,,,,,,,,,,231
demon-crucible,Demon Crucible,A crucible that melts one material and creates a different one.,小悪魔の坩堝,いけにえとなる材料を放り込んで溶かし、全く別の物に変えてしまう「るつぼ」,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus-plus,demon-s-crucible",42,30,1,1,1,1,"magic-tool,,,",,5,"escha,,,,,,,,,,",,,,,,,,,,,,232
command-chime,Command Chime,An item made to emit a large sound to send signals to allies or enemies.,号令チャイム,大きな音を出して周囲の味方や敵に注目させ合図を送るためのもの,Usable,"area-bonus,effect-up,inherit-pp-3,area-bonus-plus,command-chime",35,30,0,1,1,1,"sundry,metal,,",,3,",,,,,,,,,,",,,,,,,,,,,,233
medicine-bread,Medicine Bread,Herbal bread eaten since ancient times. It's also used as medicine.,ドラッグブレッド,古代に食べられていた薬草入りのパン。治療薬としても使われていたらしい,Usable,"count-bonus,effect-up,inherit-pp-3,count-bonus-plus,cures-illness",15,20,0,1,0,1,"food,,,",,3,",,,,,,,,,,",,,,,,,,,,,,234
apple-tart,Apple Tart,A sweet tart made with apples. It's so delicious your tongue goes numb.,リンゴのタルト,材料にリンゴを使ったとても甘いタルト。ほっぺたが落ちそうなほど美味しい,Usable,"effect-up,critical,time-type,healing-up-plus,pretty-ornaments",1,10,0,0,0,1,"food,,,",,1,",,,,,,,,,,",,,,,,,,,,,,235
